Sensor_48,Sensor_80,Sensor_112,Sensor_176,Sensor_87,Sensor_103,Sensor_88,Sensor_89,Sensor_104,Sensor_105,Sensor_91,Sensor_107,Label
194,437,436,139,219,275,210,331,367,539,176,352,right
150,352,265,133,455,389,779,1161,850,1252,556,870,right
125,313,266,135,279,334,452,775,636,887,381,693,right
111,332,299,137,364,396,536,811,711,1009,409,771,right
106,347,270,142,369,373,553,826,700,1023,437,784,right
105,340,286,135,377,388,593,860,760,1072,450,812,right
105,359,294,141,393,421,612,882,781,1119,463,801,right
103,357,276,137,406,402,623,895,759,1110,469,817,right
105,345,271,143,446,413,727,1000,827,1201,524,788,right
244,490,408,133,548,590,1088,1500,1277,1677,539,828,right
227,483,431,137,285,383,320,519,612,866,231,572,right
240,474,418,139,314,388,394,604,646,926,272,753,right
236,478,443,132,314,406,394,600,635,919,252,704,right
254,457,379,136,457,609,819,1234,1271,1650,457,914,right
423,505,337,129,945,479,7153,9568,1483,1788,1187,501,right
288,462,416,136,466,498,1055,1586,1269,1525,571,828,right
337,480,381,130,520,523,1393,2168,1460,1838,742,1036,right
348,435,343,128,620,563,4656,7537,3687,4656,1983,1798,right
322,425,356,125,737,649,4194,5611,3280,3837,1657,1943,right
326,446,359,129,896,680,3175,3942,2460,2965,1289,1879,right
343,481,391,134,956,722,2210,2723,1887,2269,933,1367,right
326,471,388,123,957,747,2219,2752,1911,2249,928,1457,right
333,480,392,130,1001,769,2391,2972,1952,2328,989,1505,right
342,487,384,136,1036,752,2454,3034,1956,2307,1000,1489,right
336,476,405,129,1009,769,2363,2980,1990,2370,992,1526,right
317,500,429,127,1022,762,2634,3185,1959,2323,1090,1405,right
121,638,509,117,2024,1072,3089,3408,652,525,931,228,right
142,612,600,119,1834,1236,3448,3741,969,683,669,143,right
132,614,644,114,1934,1431,3360,4440,1056,780,886,186,right
176,680,690,96,1397,1017,3098,4002,1006,702,720,241,right
153,566,713,129,510,523,522,605,609,669,241,383,right
132,562,732,113,612,661,702,867,755,822,302,471,right
124,540,689,123,630,673,1179,1732,1604,1888,645,730,right
119,544,679,117,674,710,1068,1599,1364,1785,739,823,right
115,532,665,115,592,621,1056,1704,1437,1945,800,870,right
121,539,651,116,610,636,1158,1896,1584,2133,883,906,right
118,525,651,118,610,632,1134,1874,1490,2032,888,895,right
113,536,675,114,613,647,1183,2001,1623,2255,943,968,right
118,544,671,119,707,726,1308,2079,1572,2232,986,1088,right
122,493,630,117,615,624,1057,1795,1339,2154,960,1017,right
113,528,626,119,626,621,1023,1537,1217,1714,765,868,right
121,457,470,121,495,510,1263,2880,1720,3797,1309,1697,right
118,436,508,120,507,554,1502,3768,2208,4990,1580,1826,right
105,504,581,129,572,636,1560,3094,2360,3550,1251,1252,right
107,525,647,112,567,678,1132,1966,2004,2503,822,869,right
109,510,611,115,573,646,1479,2933,2384,3578,1230,1245,right
116,520,618,129,573,632,1454,2836,2336,3537,1243,1245,right
110,518,624,113,565,658,1321,2402,2207,3103,1039,1110,right
111,517,613,117,560,641,1423,2674,2301,3363,1147,1205,right
113,523,629,122,571,638,1446,2733,2292,3395,1175,1242,right
106,510,623,122,558,653,1446,2825,2378,3523,1211,1257,right
111,529,629,117,587,653,1518,2811,2422,3461,1184,1224,right
106,527,640,115,578,666,1199,1972,2093,2658,851,937,right
106,514,640,115,596,678,1422,2667,2508,3360,1080,1120,right
107,515,641,115,578,669,1446,2710,2535,3403,1102,1156,right
109,523,631,122,591,666,1422,2641,2390,3264,1117,1143,right
105,517,630,118,589,651,1464,2755,2566,3462,1130,1181,right
107,524,643,117,592,666,1499,2876,2630,3582,1160,1189,right
110,528,635,119,615,735,1421,2648,2282,3104,1151,1175,right
114,518,615,109,609,640,1616,3666,2114,4231,1580,1727,right
123,460,602,122,750,946,1505,2767,1943,3362,1414,1713,right
120,500,382,125,821,779,1330,1928,1280,1990,960,1517,right
118,349,261,132,373,397,1063,1856,1608,2437,763,1387,right
180,486,236,134,617,511,1064,1420,947,1208,562,925,right
210,467,257,134,591,519,985,1216,891,1177,564,934,right
234,472,237,137,603,543,1072,1362,929,1233,631,1034,right
237,476,243,134,646,554,1122,1431,998,1377,656,1078,right
238,484,244,135,676,566,1182,1515,1026,1398,696,1143,right
236,472,243,134,681,565,1210,1530,1027,1433,686,1163,right
242,471,237,137,706,576,1237,1582,1058,1475,731,1183,right
230,477,240,133,708,581,1229,1580,1066,1498,734,1197,right
227,475,247,149,712,594,1224,1602,1094,1525,748,1234,right
233,481,242,138,720,598,1254,1651,1109,1545,761,1269,right
237,482,239,139,736,601,1249,1645,1105,1539,772,1221,right
234,483,249,129,727,613,1290,1656,1146,1559,773,1251,right
231,492,246,167,753,600,1307,1719,1155,1591,795,1242,right
235,486,239,140,764,605,1323,1731,1154,1590,837,1241,right
182,450,269,131,690,613,1530,2182,1496,2122,921,1206,right
271,543,303,131,625,606,1457,2149,1502,2214,875,1379,right
274,507,316,126,616,589,1567,2274,1703,2411,847,1400,right
168,393,274,132,519,473,1517,2844,1945,3560,1114,1596,right
153,378,299,136,510,502,1655,2597,2390,3558,957,1847,right
143,350,289,134,512,532,1685,2629,2444,3520,1001,1841,right
138,369,320,138,544,560,1606,2384,2197,3130,868,1853,right
123,373,327,132,544,578,1585,2382,2235,3227,862,1895,right
118,377,321,138,558,584,1619,2376,2231,3174,884,1867,right
126,341,329,141,560,600,1618,2368,2249,3217,882,1884,right
122,379,325,132,560,596,1612,2370,2222,3166,877,1866,right
118,370,325,131,590,606,1706,2454,2287,3183,930,1802,right
124,381,325,140,598,580,1673,2445,2223,3123,927,1740,right
119,374,329,130,569,592,1665,2456,2274,3218,860,1883,right
117,380,319,138,571,592,1645,2450,2249,3189,890,1867,right
123,374,329,140,589,587,1626,2394,2181,3095,888,1853,right
122,379,329,134,579,594,1605,2378,2220,3142,872,1881,right
117,383,340,131,580,599,1622,2382,2202,3120,895,1879,right
114,379,337,145,584,612,1620,2388,2186,3109,894,1865,right
117,388,331,130,590,590,1636,2391,2191,3119,917,1869,right
120,376,345,131,586,621,1632,2371,2209,3122,907,1878,right
117,387,342,137,588,632,1631,2368,2186,3105,898,1895,right
124,383,328,139,593,604,1639,2370,2210,3053,899,1879,right
119,384,336,137,595,601,1657,2384,2193,3102,906,1902,right
115,379,344,135,599,623,1616,2360,2181,3076,895,1884,right
110,391,335,137,607,611,1603,2342,2159,3093,897,1870,right
119,383,328,139,603,614,1613,2332,2177,3072,878,1887,right
120,389,343,135,602,617,1636,2345,2195,3105,893,1911,right
115,387,335,130,608,623,1613,2340,2190,3101,888,1906,right
115,396,329,144,612,612,1639,2338,2198,3101,899,1906,right
118,384,320,139,614,633,1609,2312,2213,3098,890,1921,right
113,394,328,139,610,617,1592,2282,2188,3088,874,1928,right
117,392,327,141,618,616,1620,2316,2199,3061,894,1939,right
118,389,355,138,615,632,1647,2365,2186,3115,892,1927,right
116,381,347,135,597,639,1629,2345,2215,3101,893,1930,right
115,382,340,130,607,624,1603,2319,2219,3116,881,1926,right
118,388,329,141,614,616,1636,2344,2193,3093,901,1909,right
116,388,332,134,619,637,1605,2308,2176,3073,897,1909,right
115,392,333,142,618,618,1635,2326,2200,3104,889,1916,right
120,388,329,139,615,633,1639,2332,2207,3111,886,1930,right
118,393,329,137,620,648,1613,2310,2209,3102,886,1909,right
109,401,343,134,619,646,1619,2308,2215,3093,897,1897,right
113,396,328,137,627,642,1612,2314,2176,3064,899,1909,right
118,388,355,134,629,656,1611,2306,2246,3129,869,1935,right
109,392,336,134,614,644,1617,2298,2167,3055,885,1916,right
113,395,341,140,607,644,1591,2273,2209,3143,866,1924,right
125,392,334,140,623,635,1622,2318,2198,3093,895,1921,right
113,388,340,137,623,655,1602,2265,2167,3046,890,1892,right
113,386,337,140,616,634,1616,2287,2209,3075,886,1885,right
113,387,330,140,618,655,1613,2285,2217,3113,878,1924,right
113,401,361,135,624,660,1638,2283,2200,3065,880,1908,right
113,395,339,137,616,645,1595,2262,2187,3080,859,1888,right
110,395,350,140,631,635,1591,2297,2213,3080,871,1935,right
109,414,338,135,633,668,1636,2307,2225,3105,882,1923,right
113,396,345,138,632,651,1626,2291,2215,3102,866,1921,right
120,392,327,143,633,644,1608,2279,2192,3075,873,1924,right
114,391,349,135,636,651,1579,2244,2187,3042,872,1904,right
113,387,334,135,622,655,1579,2260,2194,3087,856,1941,right
118,396,335,140,628,651,1616,2304,2215,3093,884,1929,right
109,392,341,138,622,662,1580,2246,2267,3125,878,1938,right
115,392,326,140,628,629,1615,2295,2219,3068,884,1918,right
104,384,334,138,619,668,1602,2289,2250,3096,868,1962,right
114,385,341,146,616,663,1621,2320,2218,3089,892,1948,right
113,396,331,143,627,657,1592,2322,2208,3086,877,1938,right
111,388,330,135,624,668,1624,2306,2233,3096,890,1938,right
111,405,337,132,614,657,1609,2296,2183,3057,890,1938,right
113,388,327,143,634,655,1617,2306,2219,3087,885,1926,right
111,384,337,136,628,648,1623,2320,2222,3114,863,1952,right
112,397,327,143,638,658,1617,2322,2193,3069,901,1908,right
99,397,333,146,634,652,1653,2324,2227,3079,880,1940,right
109,379,344,135,628,652,1608,2302,2218,3108,884,1948,right
108,397,347,138,638,657,1617,2330,2189,3054,885,1921,right
111,385,335,135,620,669,1633,2357,2237,3121,881,1966,right
116,401,340,140,628,664,1609,2320,2214,3104,879,1952,right
111,397,333,143,630,670,1613,2326,2207,3078,881,1906,right
116,359,338,138,629,672,1619,2340,2221,3080,880,1951,right
116,394,345,138,635,670,1650,2369,2235,3110,888,1947,right
116,394,329,144,640,650,1622,2345,2202,3039,877,1941,right
113,389,343,136,630,668,1594,2328,2227,3098,876,1948,right
111,423,337,155,639,669,1620,2334,2195,3062,903,1950,right
111,402,334,138,635,664,1614,2351,2231,3114,887,1944,right
115,384,337,136,634,686,1605,2340,2248,3104,875,1888,right
111,403,356,132,663,709,1805,2565,2448,3291,921,2006,right
116,402,317,140,639,627,2329,3616,3239,4378,1167,1947,right
111,391,338,141,635,678,2015,2931,2793,3799,1021,2185,right
109,400,340,138,660,699,2061,2922,2729,3680,1039,2145,right
109,400,317,134,638,688,1916,2788,2757,3701,992,2153,right
117,387,289,135,643,673,1910,2817,2780,3778,1022,2116,right
116,375,278,135,591,659,1976,2933,2893,3832,1048,2122,right
120,365,272,149,588,640,1907,2856,2861,3825,1049,2104,right
119,364,257,138,577,657,1856,2829,2859,3902,1029,2144,right
118,360,254,139,576,659,1833,2809,2912,3921,1057,2114,right
114,342,265,142,565,653,1834,2826,3006,4033,1048,2148,right
118,356,256,145,587,653,1799,2814,2956,4010,1082,2148,right
109,360,263,143,570,644,1614,2513,2704,3742,1004,2025,right
114,361,270,136,551,617,1585,2464,2642,3622,990,1999,right
111,363,273,141,555,633,1631,2498,2612,3619,1019,2006,right
120,362,276,142,563,620,1627,2525,2657,3685,1011,2027,right
111,345,285,137,558,627,1612,2498,2673,3717,1005,2049,right
116,369,280,136,567,630,1619,2472,2615,3593,1025,1949,right
116,358,295,143,568,626,1615,2519,2666,3717,1001,2010,right
112,361,301,140,557,632,1653,2569,2809,3792,1036,2057,right
109,380,312,140,568,611,1657,2496,2643,3628,1013,1964,right
112,371,311,141,563,626,1613,2509,2721,3767,1000,2030,right
113,350,300,136,567,628,1600,2500,2688,3735,1011,2011,right
111,337,314,136,547,624,1589,2470,2686,3756,981,2049,right
113,351,299,140,565,599,1656,2546,2747,3807,1027,2028,right
115,357,282,139,575,637,1588,2452,2671,3692,1002,1973,right
113,350,308,136,559,631,1630,2505,2759,3843,1007,2038,right
109,367,303,138,559,661,1631,2531,2800,3906,1014,2031,right
111,357,301,153,577,624,1657,2575,2787,3829,1055,1990,right
109,353,291,136,568,633,1665,2603,2879,3981,1050,2020,right
110,355,284,142,574,621,1625,2542,2759,3832,1032,2005,right
115,342,304,139,573,640,1590,2507,2834,3913,1025,2043,right
113,359,295,139,573,654,1609,2488,2812,3851,1007,1984,right
111,365,319,128,563,628,1648,2590,2914,4011,1043,2057,right
115,353,292,144,582,628,1595,2542,2805,3843,1044,1986,right
108,341,313,137,561,636,1589,2486,2866,3951,1003,2061,right
110,365,303,143,567,630,1639,2561,2818,3906,1059,1986,right
112,350,310,143,563,636,1593,2517,2866,3939,1023,2036,right
108,356,307,137,562,603,1632,2561,2876,3962,1030,2003,right
104,354,314,135,568,632,1601,2511,2877,3954,1023,2060,right
110,360,300,140,572,614,1676,2645,2917,4044,1057,1988,right
106,369,326,138,581,640,1667,2611,2996,4117,1047,2042,right
107,365,304,141,581,618,1639,2586,2851,3954,1053,1974,right
111,359,339,141,566,617,1679,2673,3061,4211,1078,2076,right
109,362,330,136,570,626,1662,2643,3000,4125,1070,2010,right
89,364,322,141,576,608,1667,2720,3038,4190,1092,2036,right
111,350,305,136,564,628,1647,2649,2953,4079,1070,2032,right
107,359,318,139,574,635,1634,2585,2942,4068,1056,2021,right
112,353,332,105,563,641,1641,2623,3024,4152,1066,2073,right
110,365,311,139,581,635,1640,2579,2988,4110,1054,2053,right
106,368,342,133,567,626,1655,2628,3007,4133,1086,2041,right
110,363,319,147,566,588,1679,2673,3007,4167,1102,2016,right
111,366,329,138,564,623,1654,2615,2964,4134,1099,2027,right
112,368,326,141,585,616,1673,2675,2918,4060,1091,2012,right
108,352,319,137,561,646,1631,2575,3001,4125,1052,2046,right
108,366,331,142,563,633,1650,2626,2985,4156,1079,2047,right
94,366,326,141,563,624,1651,2603,2942,4056,1062,2004,right
117,353,308,139,558,628,1635,2598,2953,4045,1055,2041,right
110,359,323,137,573,628,1610,2540,2865,3988,1054,2049,right
112,361,346,130,577,619,1621,2607,2961,4125,1078,2063,right
108,358,321,136,579,617,1647,2658,3021,4199,1081,2085,right
108,353,327,136,583,633,1644,2577,2870,3958,1068,2029,right
110,342,303,142,567,622,1586,2533,2879,4026,1046,2045,right
110,339,330,139,555,626,1579,2560,2960,4102,1044,2086,right
112,352,326,136,566,613,1609,2565,2870,4030,1069,2053,right
112,345,306,141,558,607,1629,2634,2907,4071,1079,2051,right
110,343,326,137,565,636,1594,2538,2944,4117,1051,2107,right
118,343,317,136,565,645,1593,2511,2865,4011,1050,2049,right
118,354,321,142,573,621,1582,2529,2845,3984,1024,2017,right
107,342,327,140,549,625,1568,2529,3065,4220,1042,2111,right
105,359,325,137,555,622,1586,2536,2872,4007,1061,2030,right
105,355,327,142,574,617,1613,2569,3008,4149,1044,2091,right
110,350,334,136,560,619,1620,2634,3070,4270,1082,2090,right
111,348,339,139,553,637,1578,2563,2970,4148,1071,2052,right
105,360,328,144,552,628,1575,2556,2988,4137,1063,2049,right
114,350,319,137,558,629,1560,2470,2910,4075,1035,2112,right
107,346,340,139,550,638,1556,2490,2946,4133,1025,2098,right
114,359,332,152,574,613,1565,2560,3027,4196,1056,2088,right
105,357,331,142,561,631,1540,2466,2918,4076,1030,2058,right
111,332,317,145,547,635,1534,2460,2952,4136,1043,2097,right
103,344,341,143,546,627,1532,2456,2975,4168,1012,2115,right
109,333,308,142,558,634,1558,2482,2904,4068,1062,2057,right
110,347,332,145,556,640,1575,2540,3064,4227,1046,2095,right
105,347,335,136,552,634,1575,2540,3021,4188,1063,2119,right
108,344,332,140,550,630,1524,2437,2876,4072,1052,2065,right
109,359,365,142,564,624,1583,2531,3007,4219,1066,2097,right
110,344,333,136,543,641,1578,2538,2964,4117,1083,2040,right
105,348,330,138,556,645,1525,2415,2917,4026,1024,2026,right
103,405,411,151,599,562,1996,4041,3281,5517,1487,1882,right
87,441,476,126,819,844,3167,6019,4003,5021,1713,1409,right
70,487,449,121,1683,1318,4314,6529,1743,1773,1517,646,right
64,622,516,114,1804,1252,3265,3724,1059,731,803,346,right
100,493,570,139,826,688,2060,3607,2441,3405,1134,1143,right
90,528,725,124,656,716,792,952,1300,1281,360,540,right
84,617,914,116,983,1376,977,1123,1185,986,414,435,right
76,575,759,123,1206,1069,2227,2687,2191,2091,915,832,right
89,547,703,127,731,733,1114,1566,1503,1756,575,656,right
94,556,698,118,727,707,1141,1724,1631,2043,712,798,right
94,548,688,133,756,696,1383,2357,1964,2521,921,908,right
93,553,692,125,755,724,1320,2192,1776,2360,886,938,right
93,537,696,122,750,709,1427,2492,2052,2750,992,961,right
95,555,685,122,780,739,1417,2282,1964,2468,867,879,right
109,534,632,134,670,612,1180,2101,1618,2429,935,915,right
93,525,646,124,677,674,1211,1904,1822,2251,768,862,right
104,500,593,122,607,573,1116,2192,1730,2769,1040,1058,right
94,532,674,126,723,758,1036,1401,1515,1724,537,690,right
91,537,739,123,821,1245,1015,1393,1445,1488,769,861,right
103,522,645,129,672,672,1085,1520,1529,1782,633,698,right
82,543,665,132,677,648,1055,1643,1486,1918,767,844,right
97,539,686,123,715,742,1604,2762,3799,4135,989,908,right
171,722,584,102,1245,747,1915,1809,634,337,43,0,right
103,620,691,93,1070,772,2989,3733,1568,1288,690,139,right
108,533,678,131,503,470,744,1074,899,1165,524,353,right
106,547,629,113,520,530,1067,1742,1382,1812,785,475,right
103,547,594,133,538,559,1423,2609,1939,2522,1050,554,right
105,547,617,125,552,572,1271,2192,1656,2149,930,510,right
100,559,693,160,660,731,1121,1706,1337,1573,845,470,right
107,544,631,196,615,595,1210,1785,1447,1837,847,463,right
102,554,632,124,554,567,1186,2112,1565,2079,937,528,right
101,533,590,130,566,574,1409,2616,1803,2463,1113,579,right
102,536,636,125,663,682,1392,2223,1647,2076,1003,570,right
104,532,614,132,627,637,1291,2000,1400,1871,970,578,right
113,467,489,130,515,484,1298,3438,1481,3579,1673,1152,right
111,447,462,128,518,497,1267,1905,1886,2798,1004,1134,right
116,423,471,135,535,526,1442,2234,2039,2956,1061,1215,right
113,412,459,127,551,540,1421,2250,2087,2980,1071,1244,right
114,440,484,136,558,532,1467,2317,2119,3010,1076,1248,right
105,438,495,136,540,511,1448,2568,2213,3415,1241,1172,right
94,489,611,129,563,569,1356,2476,1743,2324,1079,623,right
92,503,597,145,545,562,1233,2280,1737,2365,1021,616,right
92,499,599,155,546,571,1405,2736,1931,2663,1152,652,right
90,486,602,171,524,566,1376,2745,1865,2674,1180,699,right
91,499,586,154,527,554,1393,2872,1850,2713,1232,712,right
95,474,567,129,516,531,1265,2910,1563,2988,1408,930,right
100,423,491,128,497,495,1062,1771,1682,2660,1033,1117,right
104,421,479,141,503,517,1078,1793,1658,2582,1021,1116,right
94,579,671,129,651,637,975,1369,1072,1400,797,592,right
69,644,748,116,704,697,1205,1592,1407,1528,669,456,right
77,612,719,161,708,692,1475,2129,1669,1867,874,532,right
81,626,718,121,702,709,1445,2092,1657,1915,905,567,right
73,603,663,118,706,662,1669,2779,1607,2147,1144,662,right
102,413,430,122,501,515,1084,2418,1213,2202,1107,674,right
111,423,391,164,513,439,891,1696,1144,1627,875,644,right
103,477,467,140,513,509,929,1895,1147,2124,1242,934,right
96,497,501,151,534,515,1126,2011,1024,1730,1284,766,right
111,270,212,148,248,289,270,385,331,450,290,289,right
117,441,129,126,441,442,441,1127,565,1061,1017,785,right
142,447,153,165,460,470,501,1815,660,2008,1991,1652,right
131,453,151,180,462,428,480,1756,588,1841,2181,1688,right
169,344,155,199,559,536,632,2158,807,2085,1711,1211,right
186,487,170,183,557,516,609,2038,805,2002,1751,1291,right
185,502,174,191,582,512,635,1962,824,1855,1600,1133,right
191,486,164,202,565,516,609,2027,783,1910,1741,1355,right
194,490,162,192,565,503,613,2071,791,1954,1761,1385,right
183,493,165,184,540,489,594,2329,797,2214,2073,1688,right
189,502,161,199,588,512,618,2238,818,2204,2048,1621,right
202,506,173,188,602,546,662,2290,906,2269,1886,1383,right
196,510,165,185,587,520,642,2382,878,2311,2014,1489,right
194,506,166,180,559,526,618,2444,831,2297,2188,1671,right
189,499,162,188,565,501,610,2284,793,2074,2053,1672,right
184,485,153,179,546,503,595,2277,820,2191,2079,1763,right
184,463,164,188,510,444,581,2276,859,2664,2002,2049,right
171,457,151,199,519,489,684,1739,1007,2374,1346,1622,right
164,451,154,188,518,494,725,1862,1060,2486,1426,1720,right
162,456,151,183,533,512,797,2111,1084,2656,1549,1788,right
165,454,150,190,517,501,738,1863,987,2393,1460,1665,right
161,456,149,196,516,507,1013,1968,1039,2497,1413,1694,right
154,479,152,189,561,525,1026,2767,926,3042,1994,1971,right
210,518,160,199,634,582,1074,3164,1123,2942,2220,1476,right
202,515,164,185,619,591,988,2653,1068,2672,2036,1502,right
199,508,161,190,623,563,990,2785,996,2710,2230,1697,right
191,521,166,188,615,562,921,2728,1020,2709,2245,1722,right
197,514,168,188,635,557,866,2866,999,2803,2410,1855,right
191,517,177,183,652,593,888,2706,1090,2852,2135,1621,right
192,521,176,177,645,580,942,2611,1026,2604,2078,1577,right
194,518,168,183,647,575,883,2335,981,2347,2007,1577,right
190,523,171,186,657,584,896,2492,1005,2456,2105,1608,right
188,513,173,186,647,598,879,2458,1067,2622,2050,1612,right
192,536,175,185,641,577,966,2596,1024,2613,2103,1656,right
194,521,167,201,641,573,942,2553,1030,2554,2119,1701,right
199,535,185,172,694,640,1026,2359,1184,2644,1599,1103,right
219,559,179,173,707,606,1033,2541,1097,2567,1702,1128,right
211,548,180,183,694,599,1060,2509,1113,2408,1741,1162,right
216,526,181,171,681,616,1058,2518,1128,2465,1806,1216,right
224,553,190,180,725,615,1130,2486,1173,2456,1597,1038,right
206,516,184,184,675,612,1015,2524,1063,2370,1879,1283,right
206,523,196,175,659,576,982,2039,935,1866,1603,1148,right
198,533,186,167,641,589,1013,2355,1008,2198,1779,1262,right
177,542,177,172,657,572,1022,2435,988,2292,1923,1402,right
192,519,183,169,659,589,1039,2576,1027,2417,2008,1454,right
189,538,172,169,659,576,1030,2716,1010,2538,2154,1523,right
197,513,176,166,652,586,1010,2360,962,2181,1954,1468,right
169,476,164,152,558,523,775,1822,1071,2382,1579,1689,right
163,369,178,188,312,370,544,2075,891,2995,1942,1953,right
129,460,151,197,426,444,629,1680,1029,2437,1463,1644,right
117,453,166,192,449,436,638,1826,963,2694,1638,1730,right
131,439,154,192,414,411,567,1473,899,2433,1422,1677,right
120,437,168,173,404,414,570,1500,917,2410,1443,1618,right
124,452,158,189,418,402,630,1469,931,2360,1267,1574,right
110,335,173,189,303,317,436,1879,763,3407,1995,2073,right
99,454,211,198,415,419,613,1490,911,2366,1426,1546,right
119,457,234,186,431,421,598,1520,895,2575,1553,1737,right
139,379,187,186,662,509,794,1386,818,1287,1236,1312,right
156,370,178,134,262,249,359,1000,455,1194,965,1018,right
303,379,158,128,308,311,518,2021,673,1586,1403,1253,right
286,368,138,154,332,324,537,1930,706,1661,1359,1158,right
297,344,165,134,248,270,373,2058,592,2128,1728,1749,right
315,371,155,135,250,274,417,2157,610,2151,1749,1742,right
308,357,157,144,267,285,435,1966,628,2095,1688,1705,right
182,397,138,196,352,283,549,3516,684,2715,2633,2079,right
286,443,149,183,413,326,1058,5945,1590,4943,3599,2347,right
297,378,155,127,369,304,576,2795,823,2584,1983,1811,right
369,433,135,127,418,286,593,3715,467,1350,2859,1401,right
580,517,144,124,652,442,2817,9224,1245,2274,3044,1397,right
523,508,145,126,528,373,1000,3011,1266,2714,2073,1504,right
536,521,155,135,469,351,1063,2722,849,1774,1818,1209,right
606,585,156,130,605,433,1268,2423,891,1386,1419,787,right
567,563,160,128,495,400,926,1508,699,986,1043,620,right
589,568,177,131,476,363,595,905,595,883,745,490,right
542,549,169,130,439,345,738,1186,602,1041,977,782,right
526,547,178,113,453,328,722,1231,675,1089,995,910,right
524,537,171,133,496,344,840,1414,683,1179,1096,960,right
506,457,169,130,501,351,1152,1507,631,1055,1105,649,right
286,395,166,128,543,318,1151,2225,522,1189,1639,881,right
213,400,164,130,324,277,320,1582,355,1029,2174,730,right
175,384,153,130,415,301,564,2475,488,1510,2212,854,right
309,373,146,123,489,423,1540,4428,1210,1941,1640,517,right
310,389,162,129,523,450,941,4157,743,1658,2379,670,right
291,387,152,132,468,403,818,2925,797,1584,1836,648,right
280,394,154,138,421,367,660,2963,668,1672,2155,765,right
305,396,157,134,466,394,821,3874,725,1836,2508,846,right
285,393,166,123,454,386,793,4116,723,1872,2694,925,right
281,399,153,136,489,413,1012,4163,801,1840,2366,761,right
288,394,163,128,490,419,1009,4471,797,1926,2619,823,right
275,397,153,131,515,437,1035,3955,865,1945,2246,714,right
267,418,166,125,527,449,866,3447,847,1989,2309,836,right
279,403,154,128,497,435,875,3468,873,2090,2371,857,right
282,381,151,130,458,400,831,3334,804,1853,2307,856,right
271,392,160,117,456,406,820,3409,781,1845,2358,890,right
278,383,160,129,461,413,776,3350,758,1803,2384,892,right
274,388,157,128,457,407,771,3442,748,1851,2437,914,right
279,385,155,133,435,406,746,3402,732,1820,2460,918,right
278,383,158,126,424,425,754,3409,755,1842,2435,928,right
278,389,158,126,435,434,763,3435,751,1845,2462,924,right
281,395,156,137,436,434,724,3220,751,1782,2424,918,right
283,402,154,131,448,442,721,3061,735,1716,2370,895,right
176,389,156,131,453,443,718,3220,752,1804,2447,935,right
282,383,161,131,452,435,763,3523,769,1894,2508,954,right
283,390,156,129,454,415,742,3398,732,1807,2482,930,right
283,376,156,132,439,427,724,3352,712,1756,2486,934,right
275,376,159,129,439,434,724,3372,731,1802,2469,939,right
278,372,161,124,435,425,719,3395,731,1823,2479,956,right
272,380,156,135,449,426,746,3422,741,1810,2486,934,right
291,380,153,133,460,438,743,2998,731,1657,2205,842,right
264,376,181,127,436,415,573,2177,639,1439,1834,809,right
264,388,164,126,414,437,577,2246,669,1405,1789,766,right
268,384,150,135,441,447,622,2822,664,1527,2105,869,right
259,391,156,133,436,402,618,3112,654,1703,2310,972,right
260,387,156,139,419,405,578,2926,661,1677,2264,986,right
252,389,158,131,440,397,591,3488,651,1957,2615,1128,right
240,383,155,130,409,343,819,2608,801,2080,2021,1290,right
218,380,160,124,397,360,761,1980,853,1954,1561,1255,right
200,379,166,128,417,366,774,1929,863,1933,1548,1187,right
202,381,167,133,428,376,768,1970,913,1977,1591,1247,right
211,388,159,138,453,383,805,2053,903,1978,1679,1262,right
205,383,159,136,438,380,792,1927,919,1949,1618,1260,right
205,386,147,134,464,392,847,2095,923,2021,1667,1266,right
210,389,160,144,463,378,839,2058,914,1969,1628,1292,right
213,384,157,145,470,394,820,1962,927,1970,1616,1288,right
213,378,164,140,469,390,797,1934,917,1957,1618,1296,right
196,393,176,135,490,433,979,2996,975,2517,2061,1313,right
271,382,148,137,537,457,1021,3821,828,1832,2124,748,right
252,367,159,133,472,471,688,1786,775,1348,1392,530,right
236,376,164,132,462,465,653,2199,781,1443,1701,661,right
216,375,162,131,453,452,611,2269,755,1540,1898,800,right
201,395,155,135,423,388,677,3534,684,2213,2753,1243,right
217,373,161,136,426,420,689,1549,910,1804,1384,1192,right
203,382,162,136,445,426,735,1607,913,1763,1389,1173,right
211,382,155,135,445,422,701,1529,913,1797,1433,1185,right
208,376,158,135,429,436,668,1505,911,1768,1367,1236,right
206,384,159,141,434,424,687,1531,918,1758,1337,1239,right
202,389,159,138,448,428,703,1504,906,1770,1378,1172,right
212,379,156,139,451,440,708,1533,916,1767,1412,1176,right
203,388,165,136,438,439,678,1470,920,1752,1345,1199,right
202,394,157,139,453,439,699,1500,908,1735,1386,1179,right
203,375,154,140,446,445,698,1501,928,1770,1406,1195,right
200,387,153,137,450,452,702,1460,924,1763,1404,1167,right
199,381,163,134,448,441,701,1520,951,1765,1436,1173,right
202,387,149,134,468,478,741,1551,945,1761,1486,1149,right
193,391,147,127,502,477,871,1930,1019,2056,1604,1134,right
240,430,149,132,551,531,903,4753,887,2083,2794,1098,right
268,385,154,136,526,511,1056,3160,1053,1881,1765,692,right
236,387,163,133,487,487,787,2219,876,1541,1537,677,right
236,378,166,134,479,490,725,2431,897,1740,1802,824,right
