Sensor_48,Sensor_80,Sensor_112,Sensor_176,Sensor_87,Sensor_103,Sensor_88,Sensor_89,Sensor_104,Sensor_105,Sensor_91,Sensor_107,Label
458,549,199,600,869,1008,596,566,797,507,0,0,normal
367,507,188,441,1118,1532,1256,822,1932,891,0,0,normal
397,540,174,493,1460,1835,1770,1263,1891,1228,47,284,normal
282,346,209,580,873,2440,2677,3133,6246,4602,293,827,normal
527,546,140,535,803,855,1294,1447,1287,1335,241,478,normal
577,540,151,493,971,985,1288,1318,1261,1284,169,388,normal
521,499,175,450,1033,1113,1514,1540,1461,1486,184,472,normal
427,459,176,452,1182,1355,1852,1803,1813,1743,202,484,normal
489,498,170,466,1155,1302,1733,1698,1675,1628,207,490,normal
527,527,170,465,1169,1254,1707,1686,1616,1603,221,477,normal
509,503,164,464,1116,1188,1846,1903,1761,1838,233,551,normal
492,489,167,461,1042,1180,1778,1889,1749,1825,238,557,normal
496,490,164,451,987,1146,1699,1843,1750,1904,222,590,normal
488,494,168,447,986,1134,1732,1876,1779,1942,236,592,normal
497,487,174,451,995,1152,1732,1842,1802,1937,234,597,normal
491,492,172,447,1001,1165,1774,1906,1827,1985,234,601,normal
501,503,166,449,1028,1182,1775,1929,1833,1998,246,600,normal
502,493,168,447,1024,1169,1768,1901,1845,1982,241,609,normal
502,511,165,446,1079,1222,1835,1920,1853,1968,244,602,normal
511,510,169,445,1078,1215,1839,1938,1840,1985,236,610,normal
511,502,157,449,1086,1229,1858,1957,1908,2017,251,611,normal
499,514,157,445,1092,1236,1903,1990,1909,2004,260,611,normal
502,513,163,453,1120,1234,1902,1967,1877,1979,264,615,normal
501,508,167,458,1100,1251,1897,1984,1928,2039,260,627,normal
509,503,160,460,1146,1283,1960,2004,1937,2048,266,622,normal
503,504,166,447,1114,1270,1895,1959,1932,2028,249,620,normal
505,497,147,454,1130,1290,1945,1996,1931,2027,269,618,normal
509,493,163,452,1119,1289,1925,1983,1944,2055,254,632,normal
506,506,164,451,1140,1280,1958,1995,1949,2060,253,614,normal
502,511,160,455,1136,1276,1947,2005,1967,2056,254,634,normal
512,501,157,453,1150,1290,2012,2049,2000,2105,263,640,normal
513,507,163,448,1183,1332,2004,2041,1991,2074,260,628,normal
510,512,161,447,1196,1336,2050,2087,2028,2126,264,649,normal
520,504,164,438,1205,1355,2047,2092,2043,2149,261,634,normal
512,499,160,455,1211,1376,2070,2092,2053,2160,253,640,normal
505,500,167,442,1225,1367,2065,2095,2026,2155,261,634,normal
517,504,155,453,1230,1365,2094,2124,2072,2187,265,636,normal
518,505,157,445,1221,1387,2091,2137,2113,2206,258,627,normal
512,518,158,438,1249,1373,2110,2171,2074,2165,261,637,normal
517,504,158,443,1243,1380,2080,2126,2065,2149,261,639,normal
507,495,150,446,1093,1300,2056,2231,2265,2410,296,736,normal
472,491,148,553,1102,1130,1679,1824,1943,2185,219,549,normal
